,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
32858,INN32859,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,8,1,Online,0,0,0,121.0,1,Not_Canceled
5444,INN05445,2,0,2,5,Meal Plan 1,0,Room_Type 1,171,2017,8,20,Online,0,0,0,76.5,0,Canceled
12829,INN12830,2,0,1,3,Not Selected,0,Room_Type 1,240,2018,10,27,Online,0,0,0,80.75,0,Canceled
13033,INN13034,2,0,0,1,Not Selected,0,Room_Type 1,65,2018,9,8,Online,0,0,0,125.1,2,Not_Canceled
14294,INN14295,2,1,1,1,Meal Plan 1,0,Room_Type 1,6,2018,8,8,Online,0,0,0,171.0,1,Not_Canceled
34052,INN34053,2,0,2,1,Meal Plan 1,0,Room_Type 4,41,2018,9,18,Online,0,0,0,149.4,1,Canceled
26474,INN26475,2,1,2,5,Meal Plan 1,0,Room_Type 1,162,2018,12,26,Online,0,0,0,158.56,0,Not_Canceled
18333,INN18334,2,0,2,0,Meal Plan 1,0,Room_Type 1,19,2018,9,11,Online,0,0,0,87.2,0,Not_Canceled
21151,INN21152,1,0,1,3,Meal Plan 1,0,Room_Type 1,93,2018,3,7,Online,0,0,0,54.24,0,Not_Canceled
19394,INN19395,1,0,1,1,Meal Plan 1,0,Room_Type 1,8,2018,11,14,Online,0,0,0,103.0,1,Not_Canceled
11322,INN11323,2,0,1,3,Meal Plan 1,0,Room_Type 1,14,2017,10,19,Online,0,0,0,92.17,1,Not_Canceled
8141,INN08142,2,0,2,2,Meal Plan 1,0,Room_Type 1,71,2018,4,3,Online,0,0,0,87.13,1,Not_Canceled
21783,INN21784,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,2018,5,13,Offline,0,0,0,95.0,0,Canceled
7203,INN07204,2,0,2,1,Not Selected,0,Room_Type 1,86,2018,4,10,Online,0,0,0,94.5,1,Canceled
6340,INN06341,2,0,0,2,Meal Plan 1,0,Room_Type 4,117,2018,7,29,Online,0,0,0,123.3,1,Not_Canceled
20612,INN20613,2,0,0,3,Meal Plan 1,0,Room_Type 1,5,2017,12,9,Offline,0,0,0,58.0,1,Not_Canceled
12785,INN12786,1,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,90.0,0,Not_Canceled
28127,INN28128,2,0,0,4,Meal Plan 1,0,Room_Type 4,8,2018,4,5,Online,0,0,0,92.17,2,Not_Canceled
2302,INN02303,2,2,2,2,Meal Plan 1,0,Room_Type 6,159,2018,12,30,Online,0,0,0,149.6,0,Not_Canceled
27967,INN27968,2,0,0,3,Not Selected,0,Room_Type 1,158,2018,8,25,Online,0,0,0,94.5,0,Canceled
19813,INN19814,2,0,0,3,Meal Plan 1,0,Room_Type 4,41,2018,2,4,Online,0,0,0,82.45,0,Canceled
20622,INN20623,2,0,2,2,Not Selected,0,Room_Type 1,87,2018,4,3,Online,0,0,0,72.25,0,Canceled
3882,INN03883,2,0,2,4,Not Selected,0,Room_Type 1,71,2018,11,12,Online,0,0,0,77.0,2,Not_Canceled
6018,INN06019,2,0,0,1,Meal Plan 1,0,Room_Type 1,50,2018,3,24,Online,0,0,0,99.0,1,Not_Canceled
32745,INN32746,2,0,0,3,Meal Plan 1,0,Room_Type 1,104,2018,4,28,Online,0,0,0,102.3,0,Canceled
24878,INN24879,2,0,0,3,Meal Plan 1,0,Room_Type 1,159,2018,8,2,Offline,0,0,0,82.44,1,Not_Canceled
5080,INN05081,2,0,2,2,Not Selected,0,Room_Type 1,28,2018,5,22,Online,0,0,0,103.55,0,Canceled
30079,INN30080,2,0,1,5,Meal Plan 1,0,Room_Type 4,129,2018,10,10,Online,0,0,0,132.3,0,Canceled
11385,INN11386,2,0,1,2,Meal Plan 1,0,Room_Type 1,56,2018,8,15,Offline,0,0,0,72.25,0,Not_Canceled
7595,INN07596,1,0,2,1,Meal Plan 1,0,Room_Type 1,93,2018,10,15,Online,0,0,0,115.0,0,Canceled
14535,INN14536,2,0,0,1,Meal Plan 1,1,Room_Type 1,31,2018,2,5,Online,0,0,0,89.3,1,Not_Canceled
14548,INN14549,2,0,0,4,Meal Plan 1,0,Room_Type 4,213,2018,8,31,Online,0,0,0,118.15,1,Canceled
13793,INN13794,2,1,1,2,Meal Plan 1,0,Room_Type 1,19,2018,1,29,Online,0,0,0,89.3,2,Not_Canceled
13578,INN13579,2,0,1,2,Meal Plan 1,0,Room_Type 1,49,2018,7,1,Online,0,0,0,117.9,3,Not_Canceled
14519,INN14520,2,0,0,1,Meal Plan 1,0,Room_Type 1,17,2018,3,31,Offline,0,0,0,72.4,0,Not_Canceled
22089,INN22090,2,2,0,3,Meal Plan 1,0,Room_Type 6,7,2018,4,20,Online,0,0,0,201.0,1,Canceled
30150,INN30151,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,109.0,0,Not_Canceled
11925,INN11926,3,0,0,3,Meal Plan 1,0,Room_Type 4,107,2018,7,13,Online,0,0,0,137.7,2,Not_Canceled
13484,INN13485,2,0,1,1,Meal Plan 1,0,Room_Type 1,26,2018,11,19,Online,0,0,0,104.0,1,Canceled
2533,INN02534,1,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Online,0,0,0,80.0,0,Canceled
19888,INN19889,1,0,0,3,Meal Plan 1,0,Room_Type 1,271,2018,9,21,Offline,0,0,0,85.67,0,Not_Canceled
6694,INN06695,0,2,2,5,Meal Plan 1,0,Room_Type 2,179,2018,9,2,Online,0,0,0,121.01,0,Canceled
5492,INN05493,2,0,1,3,Meal Plan 1,0,Room_Type 1,14,2018,5,30,Offline,0,0,0,80.75,0,Not_Canceled
27404,INN27405,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,2017,7,27,Corporate,0,0,0,65.0,0,Not_Canceled
27550,INN27551,1,0,0,4,Meal Plan 1,0,Room_Type 1,5,2018,2,24,Corporate,0,0,0,80.0,0,Not_Canceled
8597,INN08598,2,0,0,2,Meal Plan 1,0,Room_Type 1,8,2018,11,25,Online,0,0,0,90.0,1,Not_Canceled
19247,INN19248,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,3,16,Online,0,0,0,109.0,0,Not_Canceled
10368,INN10369,2,0,0,3,Not Selected,0,Room_Type 1,66,2018,3,16,Online,0,0,0,73.5,0,Canceled
7018,INN07019,2,0,2,3,Meal Plan 1,0,Room_Type 2,285,2018,10,16,Online,0,0,0,81.81,0,Canceled
22515,INN22516,2,0,0,2,Meal Plan 1,0,Room_Type 1,32,2018,11,11,Online,0,0,0,130.0,1,Not_Canceled
24144,INN24145,2,0,1,2,Not Selected,0,Room_Type 1,87,2018,3,25,Online,0,0,0,85.5,1,Canceled
29339,INN29340,1,0,2,1,Meal Plan 1,0,Room_Type 4,30,2018,6,19,Online,0,0,0,122.4,0,Canceled
21112,INN21113,2,0,0,1,Meal Plan 1,0,Room_Type 1,33,2018,11,26,Online,0,0,0,113.0,1,Not_Canceled
19445,INN19446,2,0,0,3,Meal Plan 1,0,Room_Type 1,13,2017,8,20,Online,0,0,0,90.0,2,Not_Canceled
5686,INN05687,2,0,0,3,Meal Plan 1,0,Room_Type 1,12,2017,8,5,Corporate,0,0,0,65.0,0,Not_Canceled
9958,INN09959,2,0,0,4,Meal Plan 1,1,Room_Type 4,12,2017,11,3,Online,0,0,0,91.45,0,Not_Canceled
25396,INN25397,2,0,1,1,Meal Plan 1,0,Room_Type 1,275,2018,6,4,Offline,0,0,0,62.8,0,Canceled
14623,INN14624,2,0,0,3,Meal Plan 1,0,Room_Type 1,28,2018,10,20,Offline,0,0,0,85.0,0,Not_Canceled
11711,INN11712,1,0,0,4,Meal Plan 1,0,Room_Type 1,270,2018,4,20,Offline,0,0,0,70.0,0,Not_Canceled
31547,INN31548,2,0,0,3,Meal Plan 1,0,Room_Type 1,274,2018,8,9,Online,0,0,0,107.0,2,Canceled
7671,INN07672,2,0,0,2,Meal Plan 2,0,Room_Type 4,78,2018,10,26,Online,0,0,0,138.6,1,Not_Canceled
27109,INN27110,2,0,0,1,Meal Plan 1,0,Room_Type 1,28,2018,9,27,Offline,0,0,0,75.0,2,Not_Canceled
11625,INN11626,2,2,2,2,Meal Plan 1,0,Room_Type 6,30,2018,9,24,Online,0,0,0,195.53,0,Canceled
21148,INN21149,2,0,0,3,Meal Plan 1,0,Room_Type 1,113,2018,7,12,Online,0,0,0,105.3,1,Not_Canceled
11406,INN11407,2,0,0,2,Meal Plan 1,0,Room_Type 4,6,2017,12,31,Online,0,0,0,137.0,1,Not_Canceled
17083,INN17084,2,0,0,2,Not Selected,0,Room_Type 1,7,2018,10,21,Online,0,0,0,116.8,1,Not_Canceled
3263,INN03264,1,0,0,2,Meal Plan 1,0,Room_Type 1,85,2017,9,9,Corporate,0,0,0,90.0,0,Not_Canceled
23065,INN23066,2,0,0,2,Meal Plan 2,0,Room_Type 1,63,2017,9,4,Offline,0,0,0,116.0,0,Not_Canceled
33443,INN33444,2,0,2,0,Not Selected,0,Room_Type 1,26,2018,10,9,Online,0,0,0,119.0,1,Canceled
24201,INN24202,1,1,1,3,Meal Plan 1,0,Room_Type 1,83,2018,8,1,Online,0,0,0,167.1,1,Not_Canceled
31752,INN31753,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,95.0,0,Not_Canceled
35527,INN35528,2,0,1,0,Not Selected,0,Room_Type 1,52,2018,8,28,Online,0,0,0,99.0,0,Not_Canceled
33930,INN33931,2,0,1,1,Meal Plan 1,0,Room_Type 1,180,2018,5,2,Offline,0,0,0,100.0,1,Not_Canceled
20812,INN20813,2,0,1,2,Meal Plan 1,0,Room_Type 1,113,2018,4,25,Online,0,0,0,96.3,0,Not_Canceled
28348,INN28349,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,115.0,1,Canceled
18125,INN18126,2,0,0,4,Meal Plan 1,0,Room_Type 1,147,2018,5,3,Online,0,0,0,99.45,0,Not_Canceled
19566,INN19567,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,3,22,Complementary,0,0,0,0.0,1,Not_Canceled
26083,INN26084,2,0,2,4,Meal Plan 1,0,Room_Type 4,11,2018,4,6,Online,0,0,0,130.33,0,Not_Canceled
6203,INN06204,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,10,12,Offline,0,0,0,120.0,0,Not_Canceled
9086,INN09087,1,0,1,0,Meal Plan 1,0,Room_Type 1,35,2018,9,26,Offline,0,0,0,99.0,0,Not_Canceled
30479,INN30480,2,0,0,2,Not Selected,0,Room_Type 1,4,2018,1,22,Online,0,0,0,84.0,0,Not_Canceled
36079,INN36080,1,0,0,1,Not Selected,1,Room_Type 1,0,2018,1,7,Online,1,11,0,77.5,0,Not_Canceled
1174,INN01175,2,1,2,3,Meal Plan 1,0,Room_Type 1,153,2018,12,29,Online,0,0,0,122.91,0,Not_Canceled
743,INN00744,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,2018,11,3,Online,0,0,0,89.0,0,Canceled
888,INN00889,2,0,2,2,Meal Plan 1,0,Room_Type 1,80,2018,3,25,Offline,0,0,0,74.8,1,Not_Canceled
17799,INN17800,3,0,0,3,Meal Plan 1,0,Room_Type 1,85,2018,12,8,Offline,0,0,0,105.0,0,Not_Canceled
5527,INN05528,2,0,0,3,Meal Plan 1,0,Room_Type 1,62,2018,6,9,Online,0,0,0,117.9,0,Canceled
14415,INN14416,2,0,2,3,Meal Plan 2,1,Room_Type 1,152,2018,8,6,Online,0,0,0,149.25,1,Canceled
32065,INN32066,2,0,0,1,Meal Plan 1,0,Room_Type 4,11,2018,11,5,Online,0,0,0,140.0,1,Canceled
2108,INN02109,2,0,2,5,Meal Plan 1,0,Room_Type 1,83,2017,7,6,Online,0,0,0,76.5,1,Canceled
28444,INN28445,2,0,0,1,Meal Plan 1,0,Room_Type 1,16,2018,3,11,Corporate,0,0,0,75.0,0,Not_Canceled
21532,INN21533,1,0,3,10,Meal Plan 1,0,Room_Type 1,5,2017,8,17,Online,0,0,0,92.31,2,Canceled
15543,INN15544,2,0,2,3,Meal Plan 1,0,Room_Type 2,304,2018,8,20,Online,0,0,0,65.6,1,Not_Canceled
11086,INN11087,2,1,0,2,Meal Plan 1,0,Room_Type 6,69,2018,1,1,Online,0,0,0,171.2,3,Not_Canceled
5546,INN05547,2,0,0,2,Meal Plan 1,0,Room_Type 2,330,2018,10,14,Online,0,0,0,106.7,1,Canceled
7591,INN07592,2,0,0,3,Meal Plan 1,0,Room_Type 4,85,2018,5,3,Online,0,0,0,140.4,0,Not_Canceled
6665,INN06666,1,0,0,3,Meal Plan 1,0,Room_Type 1,335,2018,10,13,Offline,0,0,0,80.0,0,Not_Canceled
6420,INN06421,2,0,2,1,Meal Plan 1,0,Room_Type 1,99,2017,10,10,Online,0,0,0,89.25,3,Not_Canceled
33764,INN33765,2,0,2,1,Not Selected,0,Room_Type 1,60,2018,6,26,Online,0,0,0,95.1,0,Canceled
5956,INN05957,2,0,2,2,Meal Plan 1,0,Room_Type 1,36,2018,5,21,Online,0,0,0,126.9,2,Not_Canceled
578,INN00579,2,0,0,3,Meal Plan 1,0,Room_Type 5,96,2018,9,13,Online,0,0,0,129.88,0,Canceled
3651,INN03652,3,0,2,1,Meal Plan 1,0,Room_Type 4,51,2018,5,7,Online,0,0,0,159.3,0,Canceled
15287,INN15288,2,0,0,2,Meal Plan 1,0,Room_Type 1,315,2018,12,2,Offline,0,0,0,52.0,0,Not_Canceled
31248,INN31249,2,0,1,3,Meal Plan 1,0,Room_Type 4,290,2018,12,1,Online,0,0,0,86.7,0,Canceled
29245,INN29246,3,0,1,2,Meal Plan 1,0,Room_Type 4,57,2018,4,22,Online,0,0,0,137.7,2,Not_Canceled
20697,INN20698,2,0,0,5,Meal Plan 1,0,Room_Type 4,115,2018,8,23,Online,0,0,0,131.4,2,Not_Canceled
26923,INN26924,2,0,0,3,Not Selected,0,Room_Type 1,28,2018,5,11,Online,0,0,0,96.02,1,Not_Canceled
17523,INN17524,2,0,0,1,Meal Plan 1,0,Room_Type 1,92,2018,11,11,Offline,0,0,0,90.0,0,Not_Canceled
7173,INN07174,2,0,1,3,Meal Plan 1,0,Room_Type 1,72,2018,3,24,Offline,0,0,0,62.38,0,Not_Canceled
8859,INN08860,2,0,1,3,Meal Plan 1,0,Room_Type 1,282,2018,12,29,Online,0,0,0,83.3,2,Canceled
4219,INN04220,2,0,1,2,Meal Plan 1,0,Room_Type 2,8,2018,3,11,Online,0,0,0,103.0,1,Not_Canceled
22157,INN22158,3,0,1,3,Meal Plan 1,0,Room_Type 6,17,2017,12,24,Offline,0,0,0,109.0,0,Not_Canceled
8845,INN08846,2,0,1,2,Meal Plan 1,0,Room_Type 4,51,2018,9,2,Online,0,0,0,123.3,0,Canceled
10473,INN10474,1,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Offline,0,0,0,90.0,0,Not_Canceled
33278,INN33279,1,0,1,3,Meal Plan 1,0,Room_Type 1,0,2018,11,14,Corporate,0,0,0,95.0,2,Not_Canceled
25432,INN25433,2,0,1,3,Meal Plan 1,0,Room_Type 1,66,2018,10,17,Online,0,0,0,118.8,1,Not_Canceled
22707,INN22708,2,0,0,2,Meal Plan 1,0,Room_Type 1,65,2018,3,11,Online,0,0,0,78.3,1,Not_Canceled
21991,INN21992,2,0,0,3,Meal Plan 1,0,Room_Type 1,279,2018,10,12,Offline,0,0,0,110.0,0,Canceled
28511,INN28512,2,0,0,1,Meal Plan 1,0,Room_Type 1,27,2018,6,9,Offline,0,0,0,120.0,0,Not_Canceled
12169,INN12170,2,1,0,2,Meal Plan 1,0,Room_Type 6,129,2018,7,22,Online,0,0,0,139.99,2,Not_Canceled
602,INN00603,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Online,0,0,0,109.0,0,Canceled
29953,INN29954,2,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Offline,0,0,0,115.0,1,Canceled
15586,INN15587,2,0,1,0,Meal Plan 1,0,Room_Type 1,81,2017,11,29,Online,0,0,0,85.0,1,Canceled
11163,INN11164,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,101.5,0,Not_Canceled
12068,INN12069,2,0,1,2,Meal Plan 1,0,Room_Type 1,418,2018,9,26,Offline,0,0,0,75.0,0,Canceled
10310,INN10311,2,0,2,0,Meal Plan 2,0,Room_Type 1,275,2018,4,17,Offline,0,0,0,110.0,0,Canceled
26040,INN26041,2,0,0,3,Not Selected,0,Room_Type 1,24,2017,10,8,Online,0,0,0,114.0,2,Not_Canceled
17585,INN17586,1,0,0,1,Meal Plan 1,0,Room_Type 1,15,2018,12,7,Corporate,0,0,0,65.0,0,Not_Canceled
2329,INN02330,2,0,1,1,Not Selected,0,Room_Type 1,5,2018,3,21,Online,0,0,0,68.53,1,Not_Canceled
26997,INN26998,2,0,2,0,Not Selected,0,Room_Type 1,30,2018,9,18,Online,0,0,0,134.1,1,Not_Canceled
21401,INN21402,2,0,1,4,Meal Plan 1,0,Room_Type 1,84,2018,3,30,Offline,0,0,0,75.34,0,Not_Canceled
27667,INN27668,2,0,1,2,Meal Plan 1,0,Room_Type 1,59,2018,7,1,Offline,0,0,0,85.0,0,Not_Canceled
6905,INN06906,2,0,2,1,Meal Plan 2,0,Room_Type 1,134,2018,11,13,Online,0,0,0,124.2,0,Canceled
11848,INN11849,2,0,0,1,Not Selected,0,Room_Type 1,29,2018,7,28,Online,0,0,0,148.0,1,Not_Canceled
18309,INN18310,2,0,0,3,Meal Plan 1,0,Room_Type 4,22,2017,10,20,Offline,0,0,0,75.0,0,Not_Canceled
9533,INN09534,2,0,1,4,Meal Plan 1,0,Room_Type 1,206,2018,7,25,Online,0,0,0,90.95,0,Canceled
36048,INN36049,2,0,0,4,Meal Plan 1,0,Room_Type 4,1,2018,3,2,Online,0,0,0,116.0,1,Not_Canceled
17078,INN17079,2,0,2,5,Meal Plan 1,1,Room_Type 4,125,2018,7,31,Online,0,0,0,126.51,0,Not_Canceled
12508,INN12509,2,1,1,2,Meal Plan 1,0,Room_Type 1,138,2018,7,25,Online,0,0,0,121.5,1,Not_Canceled
653,INN00654,0,2,1,2,Meal Plan 1,0,Room_Type 2,78,2018,8,19,Online,0,0,0,115.68,1,Not_Canceled
27187,INN27188,2,0,1,3,Meal Plan 1,0,Room_Type 1,92,2018,4,25,Online,0,0,0,90.95,0,Canceled
12114,INN12115,2,0,0,2,Meal Plan 1,0,Room_Type 1,79,2017,11,13,Offline,0,0,0,75.0,0,Not_Canceled
3611,INN03612,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,8,13,Online,0,0,0,138.0,0,Not_Canceled
10732,INN10733,1,0,1,2,Meal Plan 1,0,Room_Type 4,0,2017,9,21,Offline,0,0,0,75.0,0,Not_Canceled
16483,INN16484,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,2018,9,15,Offline,0,0,0,120.0,0,Canceled
30829,INN30830,2,0,1,1,Meal Plan 1,0,Room_Type 1,31,2018,10,15,Offline,0,0,0,85.0,0,Not_Canceled
5427,INN05428,2,2,2,3,Meal Plan 1,0,Room_Type 6,14,2017,10,22,Online,0,0,0,199.8,1,Not_Canceled
17305,INN17306,2,0,2,4,Meal Plan 1,1,Room_Type 1,176,2018,7,28,Online,0,0,0,108.45,1,Canceled
17301,INN17302,2,0,0,3,Not Selected,0,Room_Type 1,1,2018,12,13,Online,0,0,0,78.0,1,Not_Canceled
15873,INN15874,2,0,2,0,Meal Plan 1,0,Room_Type 1,15,2018,9,11,Online,0,0,0,109.0,1,Not_Canceled
9820,INN09821,2,0,1,0,Meal Plan 1,0,Room_Type 1,19,2018,9,19,Offline,0,0,0,118.15,0,Canceled
17106,INN17107,2,0,0,3,Meal Plan 1,0,Room_Type 1,204,2018,5,5,Offline,0,0,0,100.0,0,Canceled
11640,INN11641,3,0,0,3,Meal Plan 1,0,Room_Type 1,54,2018,4,20,Online,0,0,0,130.05,0,Not_Canceled
23082,INN23083,1,0,2,2,Meal Plan 1,0,Room_Type 1,23,2018,11,6,Online,0,0,0,180.25,0,Not_Canceled
24528,INN24529,2,0,1,2,Meal Plan 1,0,Room_Type 4,58,2018,6,20,Online,0,0,0,113.4,0,Canceled
33074,INN33075,1,0,1,5,Not Selected,0,Room_Type 1,40,2018,6,27,Online,0,0,0,104.1,0,Canceled
35468,INN35469,1,0,1,1,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Offline,0,0,0,90.0,0,Not_Canceled
17402,INN17403,2,0,0,3,Meal Plan 1,0,Room_Type 1,214,2018,8,11,Online,0,0,0,96.3,1,Canceled
13946,INN13947,2,0,1,1,Meal Plan 1,0,Room_Type 4,17,2018,7,9,Online,0,0,0,166.0,0,Canceled
4440,INN04441,3,0,0,4,Meal Plan 1,0,Room_Type 4,126,2018,5,4,Online,0,0,0,106.03,2,Not_Canceled
7879,INN07880,2,2,2,1,Meal Plan 1,0,Room_Type 6,89,2018,4,9,Online,0,0,0,162.3,0,Not_Canceled
30565,INN30566,2,0,0,1,Meal Plan 1,0,Room_Type 1,41,2018,4,21,Online,0,0,0,81.08,0,Canceled
18910,INN18911,2,2,2,2,Not Selected,0,Room_Type 6,8,2017,8,16,Online,0,0,0,153.0,1,Not_Canceled
19728,INN19729,2,0,0,1,Meal Plan 1,1,Room_Type 1,2,2018,6,23,Online,0,0,0,118.0,2,Not_Canceled
6561,INN06562,2,0,0,3,Meal Plan 1,0,Room_Type 1,4,2018,10,25,Offline,0,0,0,95.0,0,Not_Canceled
5441,INN05442,1,0,1,1,Meal Plan 2,0,Room_Type 1,4,2018,5,21,Offline,0,0,0,91.0,1,Not_Canceled
32648,INN32649,2,0,2,6,Not Selected,0,Room_Type 1,3,2018,2,6,Online,0,0,0,79.0,0,Canceled
19406,INN19407,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled
24380,INN24381,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,1,7,Online,0,0,0,82.0,0,Not_Canceled
16149,INN16150,2,0,1,2,Meal Plan 1,0,Room_Type 1,78,2018,3,7,Offline,0,0,0,65.58,0,Not_Canceled
20728,INN20729,2,0,2,2,Meal Plan 1,0,Room_Type 1,81,2018,3,25,Offline,0,0,0,65.0,0,Canceled
17741,INN17742,2,0,2,4,Meal Plan 1,0,Room_Type 1,179,2018,7,23,Online,0,0,0,90.95,1,Not_Canceled
27438,INN27439,2,0,0,4,Not Selected,0,Room_Type 1,135,2017,8,19,Online,0,0,0,55.08,0,Canceled
35595,INN35596,1,0,1,3,Meal Plan 1,0,Room_Type 1,85,2018,10,6,Offline,0,0,0,75.0,0,Not_Canceled
27086,INN27087,1,0,1,0,Not Selected,0,Room_Type 5,1,2018,9,26,Online,0,0,0,195.0,0,Not_Canceled
29097,INN29098,2,0,0,4,Meal Plan 1,0,Room_Type 1,199,2018,8,2,Online,0,0,0,70.44,2,Canceled
2390,INN02391,2,0,2,5,Meal Plan 1,0,Room_Type 2,13,2017,8,27,Online,0,0,0,85.29,1,Canceled
19632,INN19633,1,0,1,1,Meal Plan 1,0,Room_Type 1,155,2018,10,3,Online,0,0,0,113.4,0,Canceled
17530,INN17531,2,0,1,2,Meal Plan 1,0,Room_Type 1,81,2017,7,27,Online,0,0,0,76.5,1,Canceled
14315,INN14316,2,0,1,0,Meal Plan 1,0,Room_Type 1,25,2018,4,11,Online,0,0,0,101.0,1,Not_Canceled
6307,INN06308,2,1,0,3,Meal Plan 1,0,Room_Type 1,149,2018,7,20,Online,0,0,0,127.5,0,Canceled
5078,INN05079,2,0,2,3,Meal Plan 1,0,Room_Type 1,54,2017,10,3,Online,0,0,0,74.15,2,Not_Canceled
12317,INN12318,2,0,0,2,Meal Plan 1,1,Room_Type 1,201,2018,5,24,Online,0,0,0,127.0,1,Canceled
15006,INN15007,1,0,0,2,Meal Plan 2,0,Room_Type 1,6,2017,12,10,Online,0,0,0,0.0,0,Not_Canceled
23849,INN23850,1,0,0,2,Meal Plan 1,0,Room_Type 1,19,2018,6,22,Corporate,0,0,0,90.0,0,Not_Canceled
14790,INN14791,2,1,1,3,Meal Plan 1,0,Room_Type 1,21,2018,8,1,Online,0,0,0,159.0,0,Canceled
6646,INN06647,2,0,2,3,Meal Plan 1,0,Room_Type 1,33,2017,9,26,Offline,0,0,0,57.92,1,Not_Canceled
20577,INN20578,2,1,0,1,Not Selected,0,Room_Type 1,101,2018,4,16,Online,0,0,0,65.83,2,Not_Canceled
17812,INN17813,2,0,2,2,Meal Plan 1,0,Room_Type 4,220,2018,8,14,Online,0,0,0,108.45,0,Canceled
32465,INN32466,2,0,2,3,Not Selected,0,Room_Type 1,38,2018,3,5,Online,0,0,0,52.39,0,Not_Canceled
4066,INN04067,2,0,1,3,Meal Plan 1,0,Room_Type 1,41,2018,11,3,Offline,0,0,0,112.0,1,Not_Canceled
4714,INN04715,2,0,0,3,Not Selected,0,Room_Type 1,5,2018,10,18,Online,0,0,0,112.0,0,Not_Canceled
9547,INN09548,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,2018,9,15,Offline,0,0,0,120.0,0,Canceled
3644,INN03645,2,0,1,1,Not Selected,0,Room_Type 1,32,2018,12,24,Online,0,0,0,79.2,0,Canceled
27380,INN27381,1,0,2,2,Meal Plan 1,0,Room_Type 1,54,2018,10,16,Offline,0,0,0,66.5,0,Not_Canceled
9313,INN09314,2,0,2,2,Meal Plan 1,0,Room_Type 4,62,2018,3,13,Online,0,0,0,63.49,1,Not_Canceled
1445,INN01446,3,0,1,3,Meal Plan 1,0,Room_Type 4,46,2018,3,21,Online,0,0,0,124.1,1,Canceled
28657,INN28658,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Offline,0,0,0,115.0,1,Canceled
34939,INN34940,2,0,0,4,Meal Plan 1,0,Room_Type 1,134,2018,4,19,Offline,0,0,0,71.0,1,Not_Canceled
23766,INN23767,2,0,0,2,Meal Plan 1,0,Room_Type 1,24,2017,12,4,Offline,0,0,0,55.0,0,Not_Canceled
23753,INN23754,2,0,2,1,Meal Plan 1,0,Room_Type 1,271,2018,12,3,Offline,0,0,0,78.3,0,Not_Canceled
15153,INN15154,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Offline,0,0,0,110.0,0,Canceled
29233,INN29234,2,0,0,4,Meal Plan 1,0,Room_Type 5,120,2018,4,5,Online,0,0,0,94.86,0,Not_Canceled
22747,INN22748,1,0,0,3,Meal Plan 1,0,Room_Type 1,133,2018,6,9,Online,0,0,0,121.5,1,Not_Canceled
30818,INN30819,2,0,3,10,Meal Plan 1,0,Room_Type 1,6,2017,9,1,Online,0,0,0,116.62,1,Canceled
4748,INN04749,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Online,0,0,0,115.0,1,Canceled
12673,INN12674,1,0,1,3,Meal Plan 1,0,Room_Type 1,35,2018,11,7,Online,0,0,0,199.0,2,Not_Canceled
20413,INN20414,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,2018,12,16,Offline,0,0,0,70.0,0,Not_Canceled
34239,INN34240,2,0,1,3,Meal Plan 1,0,Room_Type 1,35,2018,9,5,Online,0,0,0,118.8,0,Not_Canceled
7008,INN07009,2,0,0,1,Meal Plan 1,0,Room_Type 1,4,2018,3,23,Online,0,0,0,2.0,1,Not_Canceled
